device_id,visit_id,platform,video_seconds_spent
3292390206845684908:6917548403849237210,3292390206845684908:6917548403849237210:00000003,OTT,2
3292460813960844391:6917530187819202032,3292460813960844391:6917530187819202032:00000002,OTT,2
3281439264306859550:6917530167418072015,3281439264306859550:6917530167418072015:00000013,OTT,2
3292453742297201563:6917530215736434058,3292453742297201563:6917530215736434058:00000002,OTT,2
3292454154614076390:6917530147017068792,3292454154614076390:6917530147017068792:00000002,OTT,2
3292464956456504326:4611705270081427016,3292464956456504326:4611705270081427016:00000002,OTT,2
3278306087811934952:4611687199006547867,3278306087811934952:4611687199006547867:00000021,OTT,2
3292462229152566108:6917530180302930712,3292462229152566108:6917530180302930712:00000002,OTT,2
9078005868864353252:6689226013361296591,9078005868864353252:6689226013361296591:00000002,OTT,2
3292426001103437154:4611687182900407903,3292426001103437154:4611687182900407903:00000004,OTT,2
4286285205807114921:3748506009782053087,4286285205807114921:3748506009782053087:00000005,OTT,2
491185465686931511:8530836440718106552,491185465686931511:8530836440718106552:00000002,OTT,2
3292401324368535193:4611705296388102653,3292401324368535193:4611705296388102653:00000002,OTT,2
3292280562773368456:6917530211441443811,3292280562773368456:6917530211441443811:00000006,OTT,3
3292406504099391898:6917530222178886019,3292406504099391898:6917530222178886019:00000002,OTT,3
3278883363628747279:4611687139950747393,3278883363628747279:4611687139950747393:00000008,OTT,3
3257904374682049884:4611687172706684261,3257904374682049884:4611687172706684261:00000023,OTT,3
3256794982483311271:6917530164735699431,3256794982483311271:6917530164735699431:00000040,OTT,3
3179466254537168009:4611687185048126331,3179466254537168009:4611687185048126331:00000001,OTT,4
3292346464751565273:4611687153909371936,3292346464751565273:4611687153909371936:00000008,OTT,5
3278691694270721479:6917530167954954932,3278691694270721479:6917530167954954932:00000013,OTT,5
3292411662355104272:6917530211441443674,3292411662355104272:6917530211441443674:00000003,OTT,5
3292368779253859074:4611705364033831619,3292368779253859074:4611705364033831619:00000005,OTT,6
3292403933561462285:6917530223252604066,3292403933561462285:6917530223252604066:00000003,OTT,7
3292398758125894962:6917530223252607855,3292398758125894962:6917530223252607855:00000003,OTT,7
3292400083123001801:6917548306138667683,3292400083123001801:6917548306138667683:00000002,OTT,7
3292255991265461511:6917530170102383346,3292255991265461511:6917530170102383346:00000003,OTT,7
3292380641953539154:6917548401701684407,3292380641953539154:6917548401701684407:00000003,OTT,7
3292367883753171349:4611705383361189129,3292367883753171349:4611705383361189129:00000003,OTT,7
3292391738001838315:6917530222178866532,3292391738001838315:6917530222178866532:00000002,OTT,7
3292447873224379286:4611687143708841070,3292447873224379286:4611687143708841070:00000003,OTT,7
3255487422638404216:4611713528772353682,3255487422638404216:4611713528772353682:00000013,OTT,8
3292449307743182784:4611705296924968295,3292449307743182784:4611705296924968295:00000003,OTT,8
3292360255891258928:4611705299609321518,3292360255891258928:4611705299609321518:00000006,OTT,8
3278506128062622834:4611713556683999763,3278506128062622834:4611713556683999763:00000020,OTT,8
3292395959954383340:6917548309359899623,3292395959954383340:6917548309359899623:00000004,OTT,9
3292452825321685699:4611687160888688660,3292452825321685699:4611687160888688660:00000002,OTT,9
3278701345062227968:6917530208220240683,3278701345062227968:6917530208220240683:00000018,OTT,9
3292437408536271767:4611705270081432314,3292437408536271767:4611705270081432314:00000003,OTT,10
3292430933873381017:6917530148627547684,3292430933873381017:6917530148627547684:00000003,OTT,10
3292399939241882430:6917530148627550452,3292399939241882430:6917530148627550452:00000002,OTT,10
3292446619093950732:4611687195248427541,3292446619093950732:4611687195248427541:00000003,OTT,10
3255502686950469083:4611705285650870329,3255502686950469083:4611705285650870329:00000007,OTT,10
3292371042701905448:4611687167331209135,3292371042701905448:4611687167331209135:00000002,OTT,10
3292426638906092320:6917530160975586732,3292426638906092320:6917530160975586732:00000005,OTT,11
3292384030682710398:4611705299609324668,3292384030682710398:4611705299609324668:00000003,OTT,11
3292379162337580956:4611687213502045224,3292379162337580956:4611687213502045224:00000004,OTT,11
3292368216613453726:6917530192114091618,3292368216613453726:6917530192114091618:00000003,OTT,11
3167773517458942279:4611687159815752895,3167773517458942279:4611687159815752895:00000003,OTT,267
3292461619267238771:4611687202227749288,3292461619267238771:4611687202227749288:00000002,OTT,12
6957116622898169354:4161053506678599711,6957116622898169354:4161053506678599711:00000005,OTT,12
3292219623629908346:4611687149614489016,3292219623629908346:4611687149614489016:00000002,OTT,12
3292409740357262638:6917530192114098235,3292409740357262638:6917530192114098235:00000004,OTT,12
3274454333223593849:4611687205449144503,3274454333223593849:4611687205449144503:00000008,OTT,13
3292412544970617151:4611705375308127550,3292412544970617151:4611705375308127550:00000002,OTT,13
3278838751803161309:4611705285651666534,3278838751803161309:4611705285651666534:00000017,OTT,13
3281464428520248102:4611687143172078519,3281464428520248102:4611687143172078519:00000005,OTT,51469
3292031055237942109:6917548279295127857,3292031055237942109:6917548279295127857:00000005,OTT,14
2694713158296204040:9012379764826078121,2694713158296204040:9012379764826078121:00000006,OTT,14
3278492987608772960:4611687158204367449,3278492987608772960:4611687158204367449:00000016,OTT,14
3292309356234144600:6917530223252607593,3292309356234144600:6917530223252607593:00000003,OTT,14
3204249575194666900:6917539743584487067,3204249575194666900:6917539743584487067:00000007,OTT,14
3271087768205478543:6917548338351079212,3271087768205478543:6917548338351079212:00000005,OTT,15
3292386060055082472:6917530170102388198,3292386060055082472:6917530170102388198:00000003,OTT,15
3292459046581820664:6917530204462121936,3292459046581820664:6917530204462121936:00000003,OTT,16
3292440028466319998:4611705268470808893,3292440028466319998:4611705268470808893:00000002,OTT,16
3292415197113196037:4611687195248427919,3292415197113196037:4611687195248427919:00000002,OTT,17
3292444632671258984:4611705376381991717,3292444632671258984:4611705376381991717:00000002,OTT,17
3292429198706293721:6917548305601826221,3292429198706293721:6917548305601826221:00000003,OTT,17
3292365540848814628:4611687153909369025,3292365540848814628:4611687153909369025:00000004,OTT,17
3292245810045497069:4611687143708823824,3292245810045497069:4611687143708823824:00000006,OTT,19
3292398912744694991:6917530180302942906,3292398912744694991:6917530180302942906:00000002,OTT,19
3292245810045497069:4611687143708823824,3292245810045497069:4611687143708823824:00000007,OTT,19
3163702562773339731:6917535684303583436,3163702562773339731:6917535684303583436:00000002,OTT,19
3292397181872867193:6917530222178861601,3292397181872867193:6917530222178861601:00000002,OTT,20
3292210133899669320:6917530160975581919,3292210133899669320:6917530160975581919:00000007,OTT,21
3292457058011947704:6917530152922518970,3292457058011947704:6917530152922518970:00000002,OTT,21
3122670996436784222:4611687157667564234,3122670996436784222:4611687157667564234:00000002,OTT,21
3122856255556140789:4611687205985942070,3122856255556140789:4611687205985942070:00000002,OTT,21
3292310895979600023:6917548305601817925,3292310895979600023:6917548305601817925:00000006,OTT,22
3292399140377959397:6917530148627547050,3292399140377959397:6917530148627547050:00000002,OTT,23
3278697234778549998:6917530209830956515,3278697234778549998:6917530209830956515:00000014,OTT,24
3292371530180427622:4611705335042871345,3292371530180427622:4611705335042871345:00000004,OTT,24
3292395038684201395:4611687212965169576,3292395038684201395:4611687212965169576:00000003,OTT,95768
3281287016306150517:4611687149077565609,3281287016306150517:4611687149077565609:00000013,OTT,25
3278500948332082630:4611687202764710321,3278500948332082630:4611687202764710321:00000013,OTT,26
